,verbalization,subjectCQ,propertyCQ,objectCQ,theme
107,"The church located in Drôme, in France is located in the ecclesiastical territorial  entity of the parish of the Roman Catholic Diocese of Valence, in France","What is located in the ecclesiastical territorial  entity of the parish of the Roman Catholic Diocese of Valence, in France","What is the relation between The church located in Drôme, in France and the ecclesiastical territorial  entity of the parish of the Roman Catholic Diocese of Valence, in France","In which entity is The church located in Drôme, in France located",Building
108,"The human settlement has part of cultural heritage monument D-3-61-000-371 (2) in Amberg, Bavaria","Who has part of cultural heritage monument D-3-61-000-371 (2) in Amberg, Bavaria","What is the relation between The human settlement and the cultural heritage monument D-3-61-000-371 (2) in Amberg, Bavaria",Where does the human settlement have part of?,Building
109,"The official name of theatre in Karlovy Vary, Czech Republic  is Divadlo Husovka",What has the name of Divaldo Husovka,"What is the relation between The official name of theatre in Karlovy Vary, Czech Republic  and Divadlo Husovka","What is the name of theatre in Karlovy Vary, Czech Republic  ?",Building
110,"The Scottish architect was the architect of a castle in West Lothian, Scotland",The architect of what was the Scottish architect?,"What is the relation between The Scottish architect and the architect of a castle in West Lothian, Scotland","Who was the architect of a castle in West Lothian, Scotland",Building
111,"The railway station in Hudene, Sweden is located in an European time zone",What  is located in an European time zone,"What is the relation between The railway station in Hudene, Sweden and an European time zone","In which time zone is the railway station in Hudene, Sweden located?",Building
112,The railway station in Germany is named after a human settlement in Germany,What is named after a human settlement in Germany,What is the relation between The railway station in Germany and a human settlement in Germany,After which one is the railway station in Germany named?,Building
113,"The cultural heritage monument D-1-85-149-244 (7) in Neuburg an der Donau, Bavaria has a series ordinal of 7",Which one has a series ordinal of 7,"What is the relation between The cultural heritage monument D-1-85-149-244 (7) in Neuburg an der Donau, Bavaria and a series ordinal of 7","What series ordinal does The cultural heritage monument D-1-85-149-244 (7) in Neuburg an der Donau, Bavaria have",Building
114,he railway station in France was officially opened in 1838,What was officially opened in 1838,What is the relation between The railway station in France and the 1838,When was The railway station in France was officially opened,Building
115,"The railway line in Lower Saxony is the connecting line to railway station in Burgwedel, Germany",What is the connecting line to The railway line in Lower Saxony ,"What is the relation between The railway line in Lower Saxony and railway station in Burgwedel, Germany","What is the connecting line to railway station in Burgwedel, Germany",Building
116,"The abbey located in Côte-d'Or, in France is in the diocese of the Catholic Church",What  is in the diocese of the Catholic Church,"What is the relation between The abbey located in Côte-d'Or, in France and the diocese of the Catholic Church","In which diocese is the abbey in Cote-d'Or, in France?",Building
117," The church located in Landes, in France 's religion is Catholicism",Whose religion is Catholicism?,"What is the relation between The church located in Landes, in France 's religion and Catholicism","What religion does The church located in Landes, in France  have",Building
118,The building has a building style of the Baroque era,Who has a building style of the Baroque era,What is the relation between The building and a building style of the Baroque era,What style does the building have?,Building
119,"The building in Heijningen, Nederland is located on the street in Heijningen, the Netherlands","What  is located on the street in Heijningen, the Netherlands","What is the building in Heijningen, Nederland and the street in Heijningen, the Netherlands","Where is  the building in Heijningen, Nederland located?",Building
120,"The 19th-20th century defence for Liège, Belgium  is part of the Line of fortifications in Belgium",What is part of the Line of fortifications in Belgium,"What is The 19th-20th century defence for Liège, Belgium  and the  Line of fortifications in Belgium","Where is The 19th-20th century defence for Liège, Belgium  is part of ",Building
121,"The building in Nuremberg, Middle Franconia, Germany is in the heritage monument list of the city of Nürnberg",What is in the heritage monument list of the city of Nürnberg,"What is The building in Nuremberg, Middle Franconia, Germany and  the city of Nürnberg","In which list is The building in Nuremberg, Middle Franconia, Germany",Building
122,The Berlin U-Bahn station is adjacent to Berlin U-Bahn station,What  is adjacent to Berlin U-Bahn station,What is The Berlin U-Bahn station and Berlin U-Bahn station,To whom is the berlin u-bahn station adjacent to,Building
123,The church is located in human settlement in Slovenia,What is located in human settlement in Slovenia,What is The church and the human settlement in Slovenia,Where is the church located?,Building
124,The office is owned by the Government-operated Postal system in India,What is owned by the Government-operated Postal system in India,What is relation between The office and the Government-operated Postal system in India,From who is the office owned by,Building
125,The architectural structure was started in 1964,What  was started in 1964,What is relation between The architectural structure and the 1964,When was The architectural structure started,Building
126,The Branch of Canada bank has the postal code 283114,Who has the postal code 283114,What is relation between The Branch of Canada bank and the postal code 283114,What is the postal code of The Branch of Canada bank ,Building
127,"The OS grid reference for Staindrop, County Durham, DL2 is NZ1237920533",Whose OS grid reference is NZ1237920533,"What is relation between  The OS grid reference for Staindrop, County Durham, DL2 and NZ1237920533","What The OS grid reference for Staindrop, County Durham, DL2",Building
128,The post office is operated by the postal division,What  is operated by the postal division,What is relation between The post office and  the postal division,Who has operated the post office?,Building
129," The Redisham, Waveney, Suffolk, NR34 is in the historic county of England",Who is in the historic county of England,"What is relation between The Redisham, Waveney, Suffolk, NR34 and the historic county of England","Where is the Redisham, Waveney, Suffolk, NR34 ?",Building
130,The House and two barns in Großschönau is the street address of Bergstraße 8,What is in the street address of Bergstraße 8,What is relation between The House and two barns in Großschönau and the Bergstraße 8,Where is The House and two barns in Großschönau ,Building
131,"The building in Zusmarshausen, Swabia, Germany is an heritage momument",Who is a heritage momument,"What is relation between The building in Zusmarshausen, Swabia, Germany and a heritage momument","What is the building in Zusmarshausen, Swabia, Germany ",Building
132,The railway station in Tunisia is located in a Tunisian town,What is located in a Tunisian town,What is relation between The railway station in Tunisia and a Tunisian town,Where is The railway station in Tunisia located ,Building
133,"The former drive-in movie theater in Walters, Oklahoma, United States is located in a sovereign state in North America ",What is located in a sovereign state in North America ,"What is relation between The former drive-in movie theater in Walters, Oklahoma, United States and a sovereign state in North America ","Where is The former drive-in movie theater in Walters, Oklahoma, United States located?",Building
1,A city is followed by a municipality.,What city is followed by a municipality?,How is a city related to a municipality?,What follows a city?,City
2,A city has a classification climate.,What has a classification climate?,How is the the climate related to the city?,What has a city?,City
3,A town was replaced by another town.,What was replaced by a town?,How is a town related to another town?,What is a town replaced from? ,City
4,A municipality has a Human Development Index.,What has a Human Development Index?,What is the relation between a municipality and a Human Development Index? ,What has a municipality?,City
5,A town has its own phone number.,What has a dedicated phone number?,How is a town related to a phone number?,What has a town?,City
6,A municipality has a saint.,-,How is a saint related to a municipality?,What has a municipality?,City
7,A country seat has a street address.,What has a street address?,How is a country seat related to a street address?,What does a country seat have?,City
8,A city has a transportation.,Which has a transcription?,How is a city related to a transcription?,What does a city have?,City
9,A city is founded by a conquistador.,What has founded a conquistador?,What has done a conquistador to a city?,Who has founded a city?,City
10,A town is part of a constituency.,What is part of a constituency ?,What is the relation between a town and a constituency?,What is an electoral distinct part of?,City
11,A city is associated with a legislative distinct.,What is associated with a legislative district?,How is a city related to legislative district?,What is a city associated with?,City
12,A cultural property comes from a civilization.,What comes from a civilization?,What is the relation between a cultural property and a civilization?,Where does a cultural property come from?,City
13,A cultural property is from a civilization period.,What comes from a cultural civilization?,-,Where is a cultural property from?,City
14,A city is located in a region.,What is located in a region?,How is a city related to a region?,Where is a city located?,City
15,A town is part of a continent.,What is part of a continent?,How is a town related to a continent?,What is a town part of?,City
16,A prefecture has a symbol made of species of plant,Which symbol is made of species of plant?,How is a prefecture related to species of plant?,What is a prefecture symbol made of?,City
17,A commune has weddings.,What has weddings ?,How is a commune related to weddings?,What does a commune have?,City
18,A city has a school.,What is a school part of?,How is a school related to a city?,What does a city have?,City
19,A town has archives.,What has archives?,How is a town related to archives?,What does a town have?,City
20,A town organizes a Civil movement.,Where is a civil movement organized?,How is a town related to a civil movement?,What is organized in a town?,City
21,A city has numerous houses.,Where are the houses built?,How is a city related to Hauses?,What are built in a city?,City
22,A commune has a chief town.,What is a chief town part of?,How is a commune related to a chief town?,What has a commune?,City
23,A town is represented by a flag.,What does a flag represent?,How is a town related to a flag?,What is the symbol of a town?,City
24,-,-,-,-,City
25,A town is populated by 2655 females.,Where do 2655 females live?,-,What is the female population of a town ?,City
27,A city has social media followers.,What does have social media followers?,-,How many followers does a city in turkey have?,City
28,A city in turkey has 177882 followers.,Which has 177882 followers?,-,How many followers does a city in turkey have?,City
29,-,-,-,-,City
30,A city in Philippines speaks an austronesian language.,What speaks an austronesian language?,How is a city in Philippines related to austronesian language?,What language does a city in Philippines speak?,City
31,A human settlement is located in an island .,What is located in an island?,How is an island related to a human settlement?,Where is a human settlement located?,City
32,-,-,-,-,City
33,-,-,-,-,City
34,A municipality has a town meeting ,What has a town meeting ?,How is a town meeting related to a municipality?,What is the legislative body of a municipality?,City
35,A city has a language?,What has a language?,How is a city related to a language?,What does a city have?,City
36,A city has a poverty incidence.,What is a poverty incidence calculated for?,How is a city related to a poverty incidence?,What is calculated for a city?,City
37,An ancient polis is a listed archaeological site.,What is a listed archaeological site?,How is an ancient polis related to a an archaeological site?,-,City
38,A commune has a mayor.,What is a mayor head of?,How is a mayor related to a commune?,What is the head of a commune?,City
39,A city has electorates.,What has electorates?,How is a city related to electorates?,What does a city have?,City
40,A country seat is named after the largest city.,What is named after the largest city?,How is a country seat related to the largest city?,What is a country seat named after?,City
41,A city holds a military event.,Where is a military event held ?,How is a city related to a military event ?,What holds a city?,City
42,-,-,-,-,City
43,A city has a rural population.,What has a rural population?,How is a city related to a rural population?,What population does a city have?,City
44,Capital of Kuwait is part of Asia.,What is part of Asia?,How is capital of Kuwait related to Asia?,Where is located the capital of Kuwait?,City
45,A city is a settlement of a country.,What is a settlement of a county?,How is the relation between city and country?,What is a city settlement of?,City
46,A commune owns a football stadium.,Which is the owner of a football stadium?,How is the relation between the commune and the football stadium?,What does a commune own?,City
47,-,-,-,-,City
48,-,-,-,-,City
49,-,-,-,-,City
50,-,-,-,-,City
51,A municipality is a member of an international peace organization.,What is a member of an international peace organization?,How is a municipality related to an organization?,What is a municipality a member of?,City
52,A city in Russia is located in or next to the river.,What is located in or next to the river?,How is a city in Russia related to a river in Russia v,Where is a city in Russia located to?,City
53,A municipality of Germany has SCZ plate code.,What has SCZ plate codes?,-,What plate code does Triptis have?,City
54,-,-,-,-,City
55,-,-,-,-,City
56,-,-,-,-,City
57,-,-,-,-,City
58,-,-,-,-,City
59,-,-,-,-,City
60,-,-,-,-,City
61,-,-,-,-,City
62,-,-,-,-,City
63,-,-,-,-,City
64,-,-,-,-,City
65,-,-,-,-,City
66,-,-,-,-,City
67,-,-,-,-,City
68,-,-,-,-,City
69,-,-,-,-,City
70,-,-,-,-,City
71,-,-,-,-,City
72,-,-,-,-,City
74,A city is followed by a municipality.,What city is followed by a municipality?,How is a city related to a municipality?,What follows a city?,City
75,A city has a classification climate.,What has a classification climate?,How is the the climate related to the city?,What has a city?,City
76,A town was replaced by another town.,What was replaced by a town?,How is a town related to another town?,What is a town replaced from? ,City
77,A municipality has a Human Development Index.,What has a Human Development Index?,What is the relation between a municipality and a Human Development Index? ,What has a municipality?,City
78,A town has its own phone number.,What has a dedicated phone number?,How is a town related to a phone number?,What has a town?,City
79,A municipality has a saint.,-,How is a saint related to a municipality?,What has a municipality?,City
80,A country seat has a street address.,What has a street address?,How is a country seat related to a street address?,What does a country seat have?,City
81,A city has a transportation.,Which has a transcription?,How is a city related to a transcription?,What does a city have?,City
82,A city is founded by a conquistador.,What has founded a conquistador?,What has done a conquistador to a city?,Who has founded a city?,City
83,A town is part of a constituency.,What is part of a constituency ?,What is the relation between a town and a constituency?,What is an electoral distinct part of?,City
84,A city is associated with a legislative distinct.,What is associated with a legislative district?,How is a city related to legislative district?,What is a city associated with?,City
85,A cultural property comes from a civilization.,What comes from a civilization?,What is the relation between a cultural property and a civilization?,Where does a cultural property come from?,City
86,A cultural property is from a civilization period.,What comes from a cultural civilization?,-,Where is a cultural property from?,City
87,A city is located in a region.,What is located in a region?,How is a city related to a region?,Where is a city located?,City
88,A town is part of a continent.,What is part of a continent?,How is a town related to a continent?,What is a town part of?,City
89,A prefecture has a symbol made of species of plant,Which symbol is made of species of plant?,How is a prefecture related to species of plant?,What is a prefecture symbol made of?,City
90,A commune has weddings.,What has weddings ?,How is a commune related to weddings?,What does a commune have?,City
91,A city has a school.,What is a school part of?,How is a school related to a city?,What does a city have?,City
92,A town has archives.,What has archives?,How is a town related to archives?,What does a town have?,City
93,A town organizes a Civil movement.,Where is a civil movement organized?,How is a town related to a civil movement?,What is organized in a town?,City
94,A city has numerous houses.,Where are the houses built?,How is a city related to Hauses?,What are built in a city?,City
95,A commune has a chief town.,What is a chief town part of?,How is a commune related to a chief town?,What has a commune?,City
96,A town is represented by a flag.,What does a flag represent?,How is a town related to a flag?,What is the symbol of a town?,City
97,-,-,-,-,City
98,A town is populated by 2655 females.,Where do 2655 females live?,-,What is the female population of a town ?,City
100,A city has social media followers.,What does have social media followers?,-,How many followers does a city in turkey have?,City
101,A city in turkey has 177882 followers.,Which has 177882 followers?,-,How many followers does a city in turkey have?,City
102,-,-,-,-,City
103,A city in Philippines speaks an austronesian language.,What speaks an austronesian language?,How is a city in Philippines related to austronesian language?,What language does a city in Philippines speak?,City
104,A human settlement is located in an island .,What is located in an island?,How is an island related to a human settlement?,Where is a human settlement located?,City
105,-,-,-,-,City
106,-,-,-,-,City
107,A municipality has a town meeting ,What has a town meeting ?,How is a town meeting related to a municipality?,What is the legislative body of a municipality?,City
108,A city has a language?,What has a language?,How is a city related to a language?,What does a city have?,City
109,A city has a poverty incidence.,What is a poverty incidence calculated for?,How is a city related to a poverty incidence?,What is calculated for a city?,City
110,An ancient polis is a listed archaeological site.,What is a listed archaeological site?,How is an ancient polis related to a an archaeological site?,-,City
111,A commune has a mayor.,What is a mayor head of?,How is a mayor related to a commune?,What is the head of a commune?,City
112,A city has electorates.,What has electorates?,How is a city related to electorates?,What does a city have?,City
113,A country seat is named after the largest city.,What is named after the largest city?,How is a country seat related to the largest city?,What is a country seat named after?,City
114,A city holds a military event.,Where is a military event held ?,How is a city related to a military event ?,What holds a city?,City
115,-,-,-,-,City
116,A city has a rural population.,What has a rural population?,How is a city related to a rural population?,What population does a city have?,City
117,Capital of Kuwait is part of Asia.,What is part of Asia?,How is capital of Kuwait related to Asia?,Where is located the capital of Kuwait?,City
118,A city is a settlement of a country.,What is a settlement of a county?,How is the relation between city and country?,What is a city settlement of?,City
119,A commune owns a football stadium.,Which is the owner of a football stadium?,How is the relation between the commune and the football stadium?,What does a commune own?,City
120,-,-,-,-,City
121,-,-,-,-,City
122,-,-,-,-,City
123,-,-,-,-,City
124,A municipality is a member of an international peace organization.,What is a member of an international peace organization?,How is a municipality related to an organization?,What is a municipality a member of?,City
125,A city in Russia is located in or next to the river.,What is located in or next to the river?,How is a city in Russia related to a river in Russia v,Where is a city in Russia located to?,City
126,A municipality of Germany has SCZ plate code.,What has SCZ plate codes?,-,What plate code does Triptis have?,City
127,-,-,-,-,City
128,-,-,-,-,City
129,-,-,-,-,City
130,-,-,-,-,City
131,-,-,-,-,City
132,-,-,-,-,City
133,-,-,-,-,City
134,-,-,-,-,City
135,-,-,-,-,City
136,-,-,-,-,City
137,-,-,-,-,City
138,-,-,-,-,City
139,-,-,-,-,City
140,-,-,-,-,City
141,-,-,-,-,City
142,-,-,-,-,City
143,-,-,-,-,City
144,-,-,-,-,City
145,-,-,-,-,City
0,A mountain is designated as a protected area.,What mountain is designated as a protected area.,What is the relation between a mountain and a designated area?,What is a mountain designated as?,Mountain
1,An island has a length of x.,What island has a length of x?,What is the relation between a island and its length?,What length does an island have?,Mountain
2,A route of a mountain was a significant event.,What mountain has a route as a significant event?,What is the relation between a mountain and a route?,What route is a significant event of a mountain?,Mountain
3,A mountain has the peak bagging classification of a hill.,What mountain has the peak classification of a hill?,What is the relation between a mountain and a hill?,What is the peak bagging classification of a mountain?,Mountain
4,A mountain is named after a crater. ,What mountain is named after a crater?,What is the relation between a mountain and a crater?,What crater is a mountain named after?,Mountain
5,The OS grid reference for a mountain is a number.,What mountain has x as OS grid reference?,What is the relation between a mountain and a OS grid reference?,What is the OS grid reference of a mountain?,Mountain
6,A mountain is different from a village.,What mountain is different from a village?,What is the relation between a mountain and a village?,What village is different from a mountain?,Mountain
7,A mountain is made from rock.,What mountain is made from rock?,What is the relation between a mountain and a rock?,What rock is a mountain made from?,Mountain
8,A mountain is located in a time zone. ,What mountain is located in a time zone?,What is the relation between a mountain and a time zone?,What time zone is a mountain located in?,Mountain
9,A mountain's parent peak is a mountain.,What mountain has parent peak a mountain?,What is the relation between two mountains?,What mountain is the parent peak of a mountain?,Mountain
10,-,-,-,-,Mountain
11,A mountain has a topographic isolation of x.,What mountain has a topographic isolation of x?,What is the relation between a mountain and a topographic isolation?,What topographic isolation does a mountain have?,Mountain
12,A mountain is located on the terrain feature of an island.,What mountain is located on the terrain feature of an island?,What is the relation between a mountain and an island?,What island is a mountain located on the terrain feature of?,Mountain
13,A mountain is located in the protected area of a national park.,What mountain is located in the protected area of a national park?,What is the relation between a mountain and a national park?,What national park is a mountain located in the protected area of?,Mountain
14,A volcano is part of a peninsula.,What volcano is part of a peninsula?,What is the relation between a volcano and a peninsula?,What peninsula is a volcano part of?,Mountain
15,A mountain is in a county.,What mountain is in a county?,What is the relation between a mountain and a county?,What county is a mountain in?,Mountain
16,A label is the native label of a mountain.,What mountain has a native label?,What is the relation between a mountain and a label?,What label does a mountain have as a native label?,Mountain
17,A mountain has a topographic prominence of x meters.,What mountain has a topographic prominence of x meters?,What is the relation between a mountain and a topographic prominence?,What topographic prominence does a mountain have?,Mountain
18,A mountain is in a mountain range.,What mountain is in a mountain range?,What is the relation between a mountain and a mountain range?,What mountain range is a mountain in?,Mountain
19,A mountain is on a continent. ,What mountain is on a continent?,What is the relation between a mountain and a continent?,What continent is a mountain in?,Mountain
20,A mountain is x meters above sea level.,What mountain is x meters above sea level?,What is the relation between a mountain and meters above sea level?,How many meters above sea level is a mountain?,Mountain
21,A mountain is located in the administrative territorial entry of a state.,What mountain is located in the administrative territorial entry of a state?,What is the relation between a mountain and the administrative territorial entity? ,What administrative territorial entity is a mountain located in?,Mountain
22,A mountain is located in a country.,What mountain is located in a country?,What is the relation between a mountain and a country?,What country is a mountain located in?,Mountain
23,The mountain (770m) in Gwynedd  is designated as a conservation designation denoting a protected area in the United Kingdom,What is designated as a conservation designation denoting a protected area in the United Kingdom,What is the relation between The mountain (770m) in Gwynedd and a conservation designation denoting a protected area in the United Kingdom,As what is the Mountain in Gwynedd dasignated?,Mountain
24,The island in French Polynesia has a length of 1.7km,Which one  has a length of 1.7km,What is the relation between The island in French Polynesia and a length of 1.7km,What length does the island in French polynesia has?,Mountain
25,"The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol was a significant event",What was a significant event of mountain in the Venediger Group in East Tyrol ,"What is the relation between The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol and significant event","Whose first successful, documented attainment of the top of a mountain, or specific route was a significant event",Mountain
26,The  Scottish mountain has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,Who has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What is the relation between The  Scottish mountain and the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What peak bagging classification does the Scottish mountain has?,Mountain
27, The mountain on the Moon is named after lunar impact crater,Who  is named after lunar impact crater,What is the relation between The mountain on the and lunar impact crater,After who is The mountain on the Moon named ,Mountain
28,The OS grid reference for mountain in the United Kingdom is NN727904,Whose OS grid reference is NN727904,What is the relation between The OS grid reference for mountain in the United Kingdom and NN727904,What is the OS grid reference for mountain in the United Kingdom ,Mountain
29,The mountain in Spain is different from village of Poland,Who is different from village of Poland,What is the relation between The mountain in Spain and the village of Poland,Who is different from mountain in Spain,Mountain
30,The mountain in Dominica are made from mafic igneous rock,What are made from mafic igneous rock,What is the relation between The mountain in Dominica and mafic igneous rock,From what are The mountain in Dominica made from,Mountain
31,The mountain in Albania is located in the european time zone,Which one  is located in the european time zone,What is the relation between The mountain in Albania and the european time zone,In which time zone is the mountain in Albania located?,Mountain
32,The mountain in Switzerland's parent peak is a mountain in Switzerland,Whose parent peak is a mountain in Switzerland,What is the relation between The mountain in Switzerland's parent peak and a mountain in Switzerland,Who is the parent peak of the mountain in Switzerland,Mountain
33,The book is the source of Դողոդաղ,The source of whom is the book?,What is the relation between The book and the source of Դողոդաղ,Who is the source of Դողոդաղ,Mountain
34,"The mountain in Nesseby municipality, Norway has a topographic isolation of 18.5 km",Which one has a topographic isolation of 18.5 km,"What is the relation between The mountain in Nesseby municipality, Norway and a topographic isolation of 18.5 km","How much is the topographic isolation of the mountain in Nesseby municipality, Norway ",Mountain
35,The mountain in Russia is located on the terrain feature of island in Russia,Who  is located on the terrain feature of island in Russia,What is the relation between The mountain in Russia and the island in Russia,Where is located the mountain in Russia,Mountain
36,The mountain in New Zealand is located in the protected area of national park in New Zealand,What  is located in the protected area of national park in New Zealand,What is the relation between The mountain in New Zealand and the protected area of national park in New Zealand,Where is the mountain in new zeland located?,Mountain
37,The Active volcano  is part of the peninsula in Eastern Russia,Who is part of the peninsula in Eastern Russia,What is the relation between The Active and the peninsula in Eastern Russia,Where is the active volcano part of?,Mountain
38,The 1072m high mountain in Scotland  is in the historic county of Argyll shire of western Scotland,Who is in the historic county of Argyll shire of western Scotland,What is the relation between The 1072m high mountain in Scotland  and the historic county of Argyll shire of western Scotland,Where is The 1072m high mountain in Scotland  ?,Mountain
39,The mountain is the native label of mountain in Norway,To whom is the mountain a native label?,What is the relation between The mountain and the native label of mountain in Norway,Who  is the native label of mountain in Norway,Mountain
40,The mountain in Canada has a topographic prominence of 304 metres,Who has a topographic prominence of 304 metres,What is the relation between The mountain in Canada and topographic prominence of 304 metres,How much is the topographic prominence of the mountain in Canada,Mountain
41,The mountain in Slovakia is in the mountain range in Europe,Which one a is in the mountain range in Europe,What is the relation between The mountain in Slovakia and the mountain range in Europe,Where is the mountain in Slovakia?,Mountain
42,The mountain in Spain is on the continent on Earth,What  is on the continent on Earth,What is the relation between The mountain in Spain and the continent on Earth,Where is the mountain in Spain?,Mountain
43,The mountain in Bolivia is 3788 metres above sea level,What is 3788 metres above sea level,What is the relation between The mountain in Bolivia and 3788 metres above sea level,How many metres above sea level is the mountain in Bolivia,Mountain
44,"The mountain in Jalisco, Mexico is located in the administrative territorial entity of state of Mexico",Who  is located in the administrative territorial entity of state of Mexico,"What is the relation between The mountain in Jalisco, Mexico and the administrative territorial entity of state of Mexico","Where is located The mountain in Jalisco, Mexico ",Mountain
45,The mountain in Australia  is located in country in the Southern Hemisphere,What   is located in country in the Southern Hemisphere,What is the relation between The mountain in Australia  and the country in the Southern Hemisphere,Where is the mountain in Australia located?,Mountain
0,A building in Valencia can spend until 372154373 euro.,What can spend in Valencia 372154373 euro?,What is the relation of the bulding and money?,How much can spend the building in Valencia?,University
1,A bulding name in Kana is  __________.,Who is called  __________ in Kana?,What is __________ in Kana for University of Hokkaido ?,What is the name of a bulding in Kana?,University
2,An academic institution location is on street Clementi Road.,What is located on street Clementi Road?,What is the relation of the academic institution and street Clementi Road?,Where is the  academic institution located?,University
3,The experimental university is followed by a public university.,What is followed by a public university?,What is the realation of the experimental university and the public university?,What Follows The experimental university?,University
4,The Indian College got the approvment from AICTE,What was approved by AICTE?,Waht is the relation of the Indian College and AICTE?,Who approved the Indian College?,University
5,A private university in Tokyo follows a predecessor of Waseda University.,Who  follows a predecessor of Waseda University?,What is the relation of A private university in Tokyo and the predecessor of Waseda University?,What is followed by the private university in Tokyo?,University
6,"Federal Government College, Idoani's language of work or name is a west germanic language originating in England.",Who has the language of work or name is a west germanic language originating in England?,"What is the relation of Federal Government College, Idoani and the west Germanic language originating in England?","What is the languange of work or name for the  Federal Government College, Idoani?",University
7,The academic major of the state university in Dekok of Indonesia is pharmacy which is health facility where medicines are sold and medical advices are given.,Whose academic major is pharmacy?,What is pharmacy for University of Indonesia?,What is academic major of University of indonesia?,University
8,Turkish public university located in Manisa is seperated from public university in Izmir.,Which university is seperated from Ege University?,How is the public university in Manisa related to public university in Uzmir?,From whom is the  Manisa Celal Bayar University  separated from?,University
9,An academic publisher is a source of income for government in a federal state.,What is one source of income for the state government?,What is State University of Roraima to the state government?,Whose source of income is State University of Roraima?,University
10,A french writer and philosopher is participant in an experimental university build in 1968 in Paris.,Where is Alain Badiou participating? ,What is Alain Baiou doing at the University of Vincennes?,Who is participating at the university of Vincennes,University
11,The official color of Nigerian Public university is brownish-red color.,Where is Maroon the official color?,What is Maroon for the Nigerian public university?,What is the official color of Nigerian Public university?,University
12,Public university in New Jersey  has performing art as field of work.,Where is performing art a field of work?,What is performing art for Montclair State University?,What is one filed of work for Montclair State University?,University
13,Technische Hochschule's director/manager is a German Physicist.,What is Reinhard Höpfl managing?,How is Reinhard Höpfl related to Technische hochschule?,Who is the director at Technische Hochschule?,University
14,Kosin Taehakkyo is the romanization of Kosin University.,Whose romanization is Kosin Taehakkyo?,how are Kosin university of Kosin and Kosin taehakkyo related?,What is the remonaization of Kosin University?,University
15,Daejeon University has the revised romanization called Daejeon Daehakgyo.,Whose revised romanization is Daejeon Daehakgyo?,What is Daejeon Daehakgyo for Daejeon University?,What is the revised romanization of Daejeon University?,University
16,University of Toronto's president is the head of the organization.,Whose president is the head of organization?,What is the president of University of Toronto for the organization?,The president of whom is the head of organization?,University
17,University in the United states is significant even as system of education where both genders are educated together.,What is significat event in field of mixed-sex education?,What does Baker University represent in the field of mixed sex education?,What does Baker University represent for mixed-sex education?,University
18,University of Bengkulu is 17 units of length in SI above the sea.,What object is 17 meters above the sea?,How is the University of Bengkulu positioned in report with sea level?,How many meters above the sea is the university of Bengkulu?,University
19,Private university in Nigeria is located in the standard time (UTC+01:00),What university is located in standard time (UTC+01:00),What is the relation between Babcock university and time zone Central European Time?,At what time zone is the Babcock University located?,University
20,oldest and largest university in the Czech Republic is legal form of an organization.,What is a higher education institution in Czech Republic?,What is the relation between Charles University and high education institution?,What is Charles University?,University
21,An  university in London is located in historic country of England.,What is located in Kent?,How is Ravensbourne  University related with historic country in England?,Where is Ravensbourne  located?,University
22,Keszthelyi Agrártudományi Egyetem was replaced with another university.,What was replaced by University of Pannonia?,What did University of Pannonia do to  Keszthelyi Agrártudományi Egyetem?,With what was  Keszthelyi Agrártudományi Egyetem replaced?,University
23,One University is designated as historic building.,What university is designated to be historic building?,How is Haskell Indian Nations university related with National Historic Landmark?,As what is designated Haskell Indian Nations University?,University
24,University in Russia was rewarded with Order of the Soviet Union.,Which university is rewarded with Order of the Soviet Union?,What is the relation of University in Rostov-on-Don and Order of the Soviet union?,For what is  Rostov State Transport University  rewarded for?,University
25,Collegiate public research university's number is +44-1913342000.,Whose number is +44-1913342000?,What does the phone number +44-1913342000 has with Durham University to do?,What is the phone number of Durham University?,University
26,Catholic Church is the religion of one university in New York,Whose religion is the Catholic Church?,What is the relation between Catholic Church and St. John's University?,What is the religion of St.John's University?,University
27,"vocational school in Liverpool was disbanded, abolished or demolished in 1986.","What was disbanded, abolished or demolished in 1986?",What happen to Mabel Fletcher Technical College in 1986?,"When  was disbanded, abolished or demolished the Mabel Fletcher Technical College?",University
28,"University in Toronto  is described by  database of Czech scientific bibliography, mostly medicinal.","what is described by database of Czech scientific bibliography, mostly medicinal?","What is the relation between University of Toronto and database of Czech scientific bibliography, mostly medicinal?",From what is university of Toronto described?,University
29, Public university in Birmingham is part of state university system.,What is part of state university system?,What is the relationship between University of Alabama and state university system?,What is University of Alabama part of?,University
30,University in Cape Town employs 5442 people.,What university employed 5422 people?,What did university in Cape  Town do to 5422 people?,How many people did a university in Cape Town employ?,University
31,Private university in Tokyo replaces The predecessor of Waseda University.,Who replaced The predecessor of Waseda University?,What did Waseda University did to T_ky_ Senmon Gakk_?,What did Waseda University replace?,University
32,French jurist is the chairperson of a French university.,The chairperson of what institute is a french journalist?,How is Hélène Pauliat related to University of Limoges?,Who is the chair person of University of Limoges?,University
33,One Italian university was started in 1979.,What university was started in 1979?,What happen to University of Tuscia in 1979?,When was University of Tuscia started?,University
