,original_triple,SubjectCQ,PropertyCQ,ObjectCQ,Theme
0,Mullach Coire Mhic Fhearchair is a peak bagging classification of Tump.,What is the peak bagging classification of Tump?,What classification of Tump is Mullach Coire Mhic Fhearchair?,What is the peak bagging classification of?,Mountain
0,Sàileag has the peak bagging classification of Simm.,What has the peak bagging classification of Simm?,What classification does Sàileag have?,What is the peak bagging classification?,Mountain
0,Stob Coire Sgreamhach is a peak bagging classification of Munro.,What is the peak bagging classification of Munro?,What is Stob Coire Sgreamhach?,Stob Coire Sgreamhach is a peak bagging classification of what?,Mountain
0,Beinn Challuim has the peak bagging classification of Tump.,Who has the peak bagging classification of Tump?,What is the classification of Tump?,What is the peak bagging classification of?,Mountain
0,Sgùrr Mòr's peak bagging classification is Simm.,What is the peak bagging classification of Sgùrr M<unk>r?,,,Mountain
0,The peak bagging classification of Am Basteir is Murdo.,What is the peak bagging classification of?,What is Murdo?,What is the peak bagging classification of Am Basteir?,Mountain
0,Sgurr a'Chaorachain's peak bagging classification is Corbett.,What is the peak bagging classification of Sgurr a'Chaorachain?,What is Corbett?,What is Sgurr a'Chaorachain's peak bagging classification?,Mountain
0,The peak bagging classification of Glas Tulaichean is Marilyn.,What is the peak bagging classification of?,What is Marilyn?,What is the peak bagging classification of Glas Tulaichean?,Mountain
0,Marilyn is the peak bagging classification of An Caisteal.,What is Marilyn's classification?,What classification does Marilyn belong to?,What is the peak bagging classification of An Caisteal?,Mountain
0,Stob a' Choire Odhair has the peak bagging classification Munro.,What has the peak bagging classification Munro?,What classification does Stob a' Choire Odhair have?,What is Stob a' Choire Odhair's peak bagging classification?,Mountain
0,Meall nan Tarmachan is a peak bagging classification of Munro.,What is the peak bagging classification of Munro?,What is Meall nan Tarmachan?,Meall nan Tarmachan is a peak bagging classification of what?,Mountain
0,Blà Bheinn has the peak bagging classification of Simm.,What has the peak bagging classification of Simm?,What classification does Blà Bheinn have?,What is Blà Bheinn's classification?,Mountain
0,Càrn an Tuirc has the peak bagging classification of Murdo.,What has the peak bagging classification of Murdo?,What is the classification of Murdo?,What is the peak bagging classification?,Mountain
0,Yūryaku Seamount is named after Yūryaku.,What is the name of the mountain?,,,Mountain
0,Mons Gruithuisen Gamma is named after Gruithuisen.,What is the name of the monk named after Gruithuisen?,What is Mons Gruithuisen Gamma?,Mons Gruithuisen Gamma is named after who?,Mountain
0,Mount Galatea is named after HMS Galatea.,What is the name of the mountain that is named after HMS Galatea?,What is Mount Galatea?,What is Mount Galatea named after?,Mountain
0,Friggfjella is named after Frigg.,What is the name of the sea creature named after?,What is Friggfjella?,What is Friggfjella named after?,Mountain
0,Ole Hansenkammen is named after Ole Hansen.,What is the name of the name of the Swedish explorer?,Who is Ole Hansenkammen?,Who is Ole Hansenkammen named after?,Mountain
0,Olstad Peak is named after Ola Olstad.,What is the name of the mountain named after Ola Olstad?,What is Olstad Peak named after?,Who is Olstad Peak named after?,Mountain
0,The name of Mount Torlesse is Charles Obins Torlesse.,What is the name of the mountain?,What is the name of the mountain?,What is the name of Mount Torlesse?,Mountain
0,Henrik Mohn is the name of Mohnhøgda.,What is the name of Henrik Mohn?,,,Mountain
0,Ogai Seamount is named after Mori Ōgai.,What is the name of the mountain?,What is Ogai Seamount named after?,What is the name of Ogai Seamount?,Mountain
0,The name of Mount Humboldt is Alexander von Humboldt.,What is the name of the mountain?,What is the name of the mountain?,What is the name of Mount Humboldt?,Mountain
0,Mount Disappointment is named after the disappointment.,What is the name of the mountain that was named after the disappointment?,What is Mount Disappointment?,What is Mount Disappointment named after?,Mountain
0,Beckler Peak is named after Elbridge H Beckler.,What is the name of the mountain named after Elbridge H Beckler?,Who is Beckler Peak named after?,Who is Beckler Peak named after?,Mountain
0,"The name of Mount Lamington is Charles Cochrane-Baillie, 2nd Baron Lamington.",What is the name of the mountain?,What is Mount Lamington named after?,What is the name of Mount Lamington?,Mountain
0,The Tsubouchi Knolls are named after Tsubouchi Shōyō.,What is the name of the tree that is named after Tsubouchi Sh<unk>y<unk>?,,Who are the Tsubouchi Knolls named after?,Mountain
0,Norumnuten is named after Kåre Norum.,What is the name of the tree named after K<unk>re Norum?,,Who is Norumnuten named after?,Mountain
0,The name of the Karpinsky Group is Alexander Karpinsky.,What is the name of the group?,Who is the Karpinsky Group named after?,Who is the name of the Karpinsky Group?,Mountain
0,Karl Alfred von Zittel is the name of Zittelberget.,What is Karl Alfred von Zittel's real name?,What is Zittelberget?,What is the name of Zittelberget?,Mountain
0,The OS grid reference for Broad Cairn - Sandy Hillock is NO266804.,What is the OS grid reference for?,What is NO266804?,What is the OS grid reference for Broad Cairn - Sandy Hillock?,Mountain
0,The OS grid reference for Clach-Mheall Dubh is NN727904.,What is the OS grid reference for?,What is the NN727904?,What is the OS grid reference for Clach-Mheall Dubh?,Mountain
0,The OS grid reference for Beinn na h-Uamha is NM917664.,What is the OS grid reference for?,What is NM917664?,What is the OS grid reference for Beinn na h-Uamha?,Mountain
0,Ben Klibreck's OS grid reference is NC5853129908.,Whose OS grid reference is NC5853129908?,What is Ben Klibreck's name?,What is Ben Klibreck's OS grid reference?,Mountain
0,The OS grid reference for Croidh-la is NN775949.,What is the OS grid reference for?,What is the name of the grid reference for Croidh-la?,What is the OS grid reference for Croidh-la?,Mountain
0,Chno Dearg - Meall Chaorach has the OS grid reference NN383757.,Who has the OS grid reference NN383757?,What is Chno Dearg's grid reference?,What is the OS grid reference?,Mountain
0,The OS grid reference for Cairn Lick is NO392782.,What is the OS grid reference for?,What is the reference for Cairn Lick?,What is the OS grid reference for Cairn Lick?,Mountain
0,Meall Dearg (955m) has the OS grid reference NG913579.,Who has the OS grid reference NG913579?,What is the NG913579?,What is the OS grid reference?,Mountain
0,The OS grid reference for Creag a'Mhadaidh is NN634650.,What is the OS grid reference for?,What is the name of the grid reference for Creag a'Mhadaidh?,What is the OS grid reference for Creag a'Mhadaidh?,Mountain
0,Meall an Fhuarain Mhoir (western summit) has the OS grid reference NG996197.,What has the OS grid reference NG996197?,What is the NG996197?,What is the OS grid reference?,Mountain
0,Ben Glas (654m) has an OS grid reference of NN344190.,What has an OS grid reference of NN344190?,What is Ben Glas's reference?,What is Ben Glas' OS grid reference?,Mountain
0,Buidhe Bheinn (western summit) has the OS grid reference NG956087.,What summit has the OS grid reference NG956087?,What is the NG956087?,What is the OS grid reference?,Mountain
0,Ben Buie's OS grid reference is NM604270.,Whose OS grid reference is NM604270?,What is Ben Buie's name?,What is Ben Buie's OS grid reference?,Mountain
0,Sgurr Fhuar-thuill - Creag Ghorm a' Bhealaich has the OS grid reference NH244435.,What has the OS grid reference NH244435?,What is the NH244435?,What is the OS grid reference?,Mountain
0,The OS grid reference for Mam Sodhail is NH1201025321.,What is the OS grid reference for?,What is the name of the grid reference for Mam Sodhail?,What is the OS grid reference for Mam Sodhail?,Mountain
0,The OS grid reference for Stob a' Choire Odhair is NN2573545973.,What is the OS grid reference for?,What is the NN2573545973?,What is the OS grid reference for Stob a' Choire Odhair?,Mountain
0,The OS grid reference for Stob an Aonaich Mhoir is NN537694.,What is the OS grid reference for?,What is the NN537694?,What is the OS grid reference for Stob an Aonaich Mhoir?,Mountain
0,Kogel is different from Kogel.,What is different from Kogel?,How does Kogel compare to Kogel?,What is different from Kogel?,Mountain
0,White Mesa Mountain is different from White Mesa.,What is different from White Mesa?,How is White Mesa Mountain different from White Mesa Mountain?,What mountain is different from White Mesa Mountain?,Mountain
0,Golany is different from Golany.,What is different from Golany?,How does Golany compare to Golany?,What is different from Golany?,Mountain
0,Matija is different from Matija.,What is different from Matija?,What is Matija different from?,What is different from Matija?,Mountain
0,Tour Ronde is different from Tour Ronde.,What is different from Tour Ronde?,What is Tour Ronde different from?,What is different from Tour Ronde?,Mountain
0,Cedar Mountain is different from Cedar Mountain.,What is different from Cedar Mountain?,What is Cedar Mountain different from?,What is different from Cedar Mountain?,Mountain
0,Todgha Gorge is different from Todgha.,Todgha Gorge is different from what other Gorge?,How is Todgha Gorge different from Todgha Gorge?,What is different from Todgha?,Mountain
0,Taburnus is different from Camposauro.,What is different from Camposauro?,What is Taburnus different from Camposauro?,What is Taburnus different from?,Mountain
0,Sevenmile Mesa is different from Sevenmile Mesa.,What is different from Sevenmile Mesa?,What is Sevenmile Mesa's difference from?,What is different from Sevenmile Mesa?,Mountain
0,Mount Olympus is different from Olympus Mons.,What is different from Olympus Mons?,What is Mount Olympus different from Olympus Mons?,Mount Olympus is different from what other mountain?,Mountain
0,Cerro Blanquillo is different from Cerro Blanquillo.,Which other name is different from Cerro Blanquillo?,What is Cerro Blanquillo's relationship to Cerro Blanquillo?,Which other name is different from Cerro Blanquillo?,Mountain
0,Ivić is different from Ivić.,Which is different from Ivi<unk>?,,,Mountain
0,Bald Mountain is different from Bald Mountain.,What is different from Bald Mountain?,What is the difference between Bald Mountain and Bald Mountain?,What is different from Bald Mountain?,Mountain
0,Olympus (Euboea) is different from Mount Olympus.,What is different from Mount Olympus?,What is Mount Olympus's relationship to Mount Olympus?,What is Olympus different from?,Mountain
0,Mount Ruth is different from Mount Ruth Gade.,What is different from Mount Ruth Gade?,How is Mount Ruth different from Mount Ruth Gade?,What is different from Mount Ruth Gade?,Mountain
0,Le Trident is different from Le Trident.,What is different from Le Trident?,What is Le Trident different from?,What is different from Le Trident?,Mountain
0,Putica is different from Putica.,What is different from Putica?,What is Putica's relationship to Putica?,What is different from Putica?,Mountain
0,Ménez-Hom is made from sandstone.,What is made from sandstone?,What is Ménez-Hom made of?,What is Ménez-Hom made from?,Mountain
0,Kaskarspitze is made from limestone.,What is the name of the limestone that is used to make it?,What is Kaskarspitze made of?,What is Kaskarspitze made of?,Mountain
0,The Morne Trois Pitons are made from basalt.,What are made from basalt?,What is the Morne Trois Pitons made of?,What material are the Morne Trois Pitons made from?,Mountain
0,Hochglück is made from limestone.,What is the name of the limestone that is used to make it?,What is Hochglück made of?,What is Hochglück made from?,Mountain
0,Þeistareykir is made from basalt.,What is made from basalt?,,,Mountain
0,Borrelles are made from sandstone.,What is made from sandstone?,Borrelles are what?,Borrelles are made from what material?,Mountain
0,Hatchett Hill is made from igneous rock.,What is the name of the hill made from igneous rock?,What is Hatchett Hill made of?,What is Hatchett Hill made from?,Mountain
0,Puigventós is made from marl.,What is made from marl?,What is Puigventós made from?,What is Puigventós made from?,Mountain
0,Smrk is made from Rula.,What is made from Rula?,What is Smrk made from?,What is Smrk made from?,Mountain
0,Small Arteni are made from perlite.,What are made from perlite?,What are Small Arteni made from?,Small Arteni are made from what material?,Mountain
0,Mont Gardy is made from sedimentary rock.,What is the name of the mountain that is made of sedimentary rock?,What is Mont Gardy made of?,What is Mont Gardy made from?,Mountain
0,Mare de Déu del Mont is made from limestone.,What is the name of the limestone structure that makes up the site?,What is Mare de Déu del Mont made of?,What is Mare de Déu del Mont made from?,Mountain
0,Cantal mountains are made from volcanic rock.,What are made from volcanic rock?,What are cantal mountains made from?,What are cantal mountains made from?,Mountain
0,Puig de les Morreres is made from limestone.,What is made from limestone?,What is Puig de les Morreres made of?,What is Puig de les Morreres made from?,Mountain
0,Roca de Migdia is made from limestone.,What is the name of the limestone that makes up the Roca de Migdia?,What is Roca de Migdia made of?,What is Roca de Migdia made from?,Mountain
0,Morne Grande Voûte is made from volcanic rock.,What is the name of the volcanic rock that is made from volcanic rock?,What is Morne Grande Voûte made of?,What is Morne Grande Voûte made from?,Mountain
0,Tossal del Mas de Nadal is made from clay.,What is made from clay?,What is Tossal del Mas de Nadal made from?,What is Tossal del Mas de Nadal made from?,Mountain
0,Drachenfels is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Drachenfels located?,Mountain
0,Bregu i Blushit is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Bregu i Blushit located?,Mountain
0,Maja e Marsheit is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Maja e Marsheit located in?,Mountain
0,Maja e Qokaj is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Maja e Qokaj located?,Mountain
0,Gipplacut is located in the time zone UTC+01:00.,What is the name of the computer located in the UTC+01:00 time zone?,,What time zone is Gipplacut located?,Mountain
0,Mal Stugare is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Mal Stugare located?,Mountain
0,Alheimer is located in the time zone UTC+02:00.,What is the name of the city in the UTC+02:00 time zone?,,What time zone is Alheimer located?,Mountain
0,Promina is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Promina located?,Mountain
0,Maja e Venikes is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Maja e Venikes located?,Mountain
0,Maja e Rujes is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Maja e Rujes located?,Mountain
0,Kodra e Robit is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Kodra e Robit located?,Mountain
0,Maja e Thanzes is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Maja e Thanzes located?,Mountain
0,"Maja e Madhe (tumoy sa bukid sa Albanya, Qarku i Dibrës, lat 41,71, long 20,25) is located in time zone UTC+01:00.",What is the name of the tourist attraction located in the UTC+01:00 time zone?,,What time zone is Maja e Madhe located?,Mountain
0,Furka is located in the time zone UTC+01:00.,What is the name of the city in the UTC+01:00 time zone?,,What time zone is Furka located?,Mountain
0,Abu Khshebah is located in the time zone UTC+02:00.,What is the name of the city in the UTC+02:00 time zone?,,What time zone is Abu Khshebah located?,Mountain
0,Dobogó-kő is located in the time zone UTC+02:00.,What is the name of the city in the UTC+02:00 time zone?,,,Mountain
0,Butterberg is located in the time zone UTC+02:00.,What is the name of the city in the UTC+02:00 time zone?,,What time zone is Butterberg located?,Mountain
0,Foel-goch's parent peak is Y Garn (Glyderau).,What is the name of the Y Garn (Glyderau)?,,What is Foel-goch's parent peak?,Mountain
0,Pizzo Alzasca's parent peak is Rosso di Ribia.,What is the name of the peak that is the parent of Rosso di Ribia?,What is Rosso di Ribia?,What is Pizzo Alzasca's parent peak?,Mountain
0,Magerrain is the parent peak of Spitzmeilen.,Magerrain is the parent peak of what?,What is Magerrain?,What is the name of the peak that is the parent of Spitzmeilen?,Mountain
0,Aroser Rothorn is the parent peak of Hochwang.,Aroser Rothorn is the parent peak of what?,What is Aroser Rothorn?,What is the name of the peak that is the parent peak of Hochwang?,Mountain
0,Piz Mezzaun's parent peak is Munt Cotschen.,What is Munt Cotschen's parent peak?,What is Munt Cotschen's?,What is Piz Mezzaun's parent peak?,Mountain
0,Mont Fort is the parent peak of Bec des Rosses.,What is the name of the mountain that is the parent peak of Mont Fort?,What is Mont Fort?,What is the parent peak of Bec des Rosses?,Mountain
0,Tguma is the parent peak of Präzer Höhi.,What is the parent peak of?,What is Tguma?,What is the name of the peak that is the parent of Präzer Höhi?,Mountain
0,White Cloud Peak 2's parent peak is White Cloud Peak 3.,What is the name of the peak that is the parent of White Cloud Peak 3?,What is White Cloud Peak 3's?,What is White Cloud Peak 2's parent peak?,Mountain
0,The parent peak of Tguma is Lüschgrat.,What is the parent peak of Tguma?,What is Lüschgrat?,What is the parent peak of Tguma?,Mountain
0,The parent peak of Knott is Skiddaw.,What is the parent peak of Skiddaw?,What is Skiddaw?,What is the parent peak of Knott?,Mountain
0,Cùl Mòr's parent peak is Beinn Dearg.,What is the name of the mountain that has the highest peak?,What is Beinn Dearg?,,Mountain
0,Whoap's parent peak is Lank Rigg.,What band has a parent peak?,What is the name of Whoap's peak?,Who is Whoap's parent peak?,Mountain
0,Calkens Peak is the parent peak of D O Lee Peak.,Calkens Peak is the parent peak of what?,What is Calkens Peak?,What is the name of the peak that is the parent of D O Lee Peak?,Mountain
0,Piz Corbet's parent peak is Pizzo Tambò.,What is Pizzo Tamb<unk>'s parent peak?,,What is Piz Corbet's parent peak?,Mountain
0,Aran Fawddwy is the parent peak of Esgeiriau Gwynion.,What is Aran Fawddwy the parent peak of?,What is Aran Fawddwy's position in Esgeiriau Gwynion?,What is the name of the peak of Esgeiriau Gwynion?,Mountain
0,Dents du Midi's parent peak is Mont Blanc.,What is the name of the peak that is the parent of Mont Blanc?,What is Mont Blanc?,What is Dents du Midi's parent peak?,Mountain
0,Wiss Platte's parent peak is Madrisahorn.,What is the name of the peak that is the parent of Madrisahorn?,What is Madrisahorn?,What is the name of the peak that is the parent of Wiss Platte?,Mountain
0,The Republic of Armenia is the source of Tezhayruq. A brief guide-dictionary of physico-geographical objects.,What is the name of the short guide-dictionary of physico-geographical objects?,How is Tezhayruq described?,Who is the source of Tezhayruq?,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Ագ Քյոփրի.,What is the source of <unk> <unk>?,,,Mountain
0,The source of Côte d'Or is The Nuttall Encyclopædia.,What is the name of the book that is based on The Nuttall Encyclopaedia?,How is Côte d'Or described?,What is the source of Côte d'Or?,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,What is the source of <unk>?,,,Mountain
0,"A brief guide-dictionary of physico-geographical objects, Lastikhut is described by source in the Republic of Armenia.",What is the name of the brief guide-dictionary of physico-geographical objects?,How is Lastikhut described?,Where is Lastikhut described?,Mountain
0,"A brief guide-dictionary of physico-geographical objects, Sheksar is described by the Republic of Armenia.",What is the name of the brief guide-dictionary of physico-geographical objects?,How is Sheksar described?,Who describes Sheksar?,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Գյոկդաղ.,What is the source of <unk>?,,,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Թեթրոբա Ճոբարեթ.,What is the source of <unk> <unk>?,,,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Գերամոյն.,What is the source of <unk>?,,,Mountain
0,Chirchir is described by source in the Dictionary of Place Names in Armenia and Adjacent Areas.,What is the name of the Armenian city?,How is Chirchir described in the Dictionary of Place Names in Armenia?,Where is Chirchir described by source?,Mountain
0,Mets Ishkhanasar is described by the Republic of Armenia. A brief guide-dictionary of physico-geographical objects.,What is the name of the object described by the Republic of Armenia?,How is Mets Ishkhanasar described?,Who describes Mets Ishkhanasar?,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Անթաղ.,What is the source of <unk>?,,,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Գյուվերջինմիկ.,What is the source of <unk>?,,,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Աղաջառը.,What is the source of <unk>?,,,Mountain
0,Gujin Tushu Jicheng is the source of Jing Ting Mountain.,What mountain is Gujin Tushu Jicheng the source of?,How is Jing Ting Mountain described?,What is the source of Jing Ting Mountain?,Mountain
0,Talas Alatau is described by the Armenian Soviet Encyclopedia.,What is the name of the mountain that is described by the Armenian Soviet Encyclopedia?,How is Talas Alatau described?,Who describes Talas Alatau?,Mountain
0,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Գելգենթութ.,What is the source of <unk>?,,,Mountain
0,Schneidjoch has a topographic isolation of 1.9 km.,What is the name of the topographic isolating area?,What is Schneidjoch's topographic isolation?,What is the topographic isolation of Schneidjoch?,Mountain
0,Langlitinden is located at a topographic isolation of 30.2 kilometres.,What is the name of the town that is located at a topographic isolation of 30.2 kilometres?,What is Langlitinden located at?,What is the topographic isolation of Langlitinden?,Mountain
0,The topographic isolation of Mount Lunxhëri is 11 km.,What mountain is topographically isolated?,,,Mountain
0,Mount Olympus is 6.35 kilometres from topographic isolation.,What mountain is 6.35 kilometers from topographic isolation?,What is Mount Olympus 6.35 kilometers from?,How far is Mount Olympus from topographic isolation?,Mountain
0,Hexenturm has a topographic isolation of 4.4 km.,What is the name of the topographic isolation of 4.4 km?,What is Hexenturm's topographic isolation?,How far is Hexenturm from the center?,Mountain
0,Cap del Verd is located at 6.13 kilometres.,What is the name of the town that is located at 6.13 kilometers?,What is the topography of the area?,How far is Cap del Verd from the city center?,Mountain
0,The topographic isolation of Hochwilde is 6.2 km.,What is the topographic isolation of?,What is the topographic isolation of Hochwilde?,How far is Hochwilde from the mainland?,Mountain
0,Midthaugen has a topographic isolation of 18.5 km.,What area has a topographic isolation of 18.5 km?,What is Midthaugen's topography?,What is the topographic isolation of Midthaugen?,Mountain
0,Maithai jama Haphong is located at a topographic isolation of 3 km.,What is the name of the island located at a topographic isolation of 3 km?,What is Maithai jama Haphong located at?,How far is Maithai jama Haphong from the mainland?,Mountain
0,The topographic isolation of Roc del Comptador is 17.60 km.,What is the topographic isolation of?,What is the topographic isolation of Roc del Comptador?,How far is Roc del Comptador from the ocean?,Mountain
0,Trisselwand has a topographic isolation of 0.6 km.,What has a topographic isolation of 0.6 km?,What is the topography of Trisselwand?,What is the topographic isolation of Trisselwand?,Mountain
0,Piz Buin is 6.1 kilometres from the topographic isolation.,What is 6.1 kilometers from the topographic isolation?,What is Piz Buin 6.1 km from?,How far is Piz Buin from the topographic isolation?,Mountain
0,The topographic isolation of First Schafalpenkopf is 0.5 km.,What is the topographic isolation of?,What is the topographic isolation of First Schafalpenkopf?,How far is First Schafalpenkopf from the road?,Mountain
0,Márkos has a topographic isolation of 6.44 km.,What is the name of the topographic isolating area?,What is Márkos's topographic isolation?,How far is Márkos from the sea?,Mountain
0,Cap de les Pales del Planell Gran is located 912 metres above sea level.,What is located 912 meters above sea level?,What is the main feature of the location?,How high above sea level is the Cap de les Pales del Planell Gran?,Mountain
0,Wilder Pfaff has a topographic isolation of 0.75 km.,What is the name of the topographic area in which it is located?,What is Wilder Pfaff's topographic isolation?,What is the topographic isolation of Wilder Pfaff?,Mountain
0,Sabalan is located at a topographic isolation of 346 kilometres.,What is the name of the island that is located at a topographic isolation of 346 kilometers?,What is Sabalan located at?,Sabalan is located at a topographic isolation of how many kilometers?,Mountain
0,Sarik Merapi is located on a terrain feature in Sumatra.,What is located on a terrain feature in Sumatra?,Where is Sarik Merapi located?,Where is Sarik Merapi located?,Mountain
0,Gora Litvinova is located on the terrain feature of Urup.,What is located on the terrain feature of Urup?,Where is Gora Litvinova located?,Where is Gora Litvinova located?,Mountain
0,Takamine is located on the terrain feature of Nakanoshima.,What is located on the terrain feature of Nakanoshima?,Where is Takamine located?,Where is Takamine located?,Mountain
0,Արևաբուլ is located on terrain feature Ջավախքի սարահարթ.,What is located on terrain feature <unk>?,,What terrain feature is located on?,Mountain
0,Ōhinerau / Mount Hobson is located on the North Island.,What is the name of the mountain on the North Island?,Where is Mount Hobson?,Where is Mount Hobson located?,Mountain
0,Mount Nikkō-Shirane is located on terrain feature Honshu.,What is located on terrain feature Honshu?,Where is Mount Nikki-Shirane?,Mount Nikki-Shirane is located on what terrain feature?,Mountain
0,Goldsborough is located on the terrain feature of North Pennines.,What is the name of the town located on the terrain feature of the North Pennines?,Where is Goldsborough?,Goldsborough is located on the terrain feature of what?,Mountain
0,Xerovouni is located on the terrain feature Epirus.,What is located on the terrain feature Epirus?,Where is Xerovouni located?,Where is Xerovouni located?,Mountain
0,Simeon Peak is located on the terrain feature of Livingston Island.,What is the name of the mountain on Livingston Island?,Where is Simeon Peak?,Where is Simeon Peak located?,Mountain
0,Tuc de Pishader is located on the terrain feature of Circ de Saboredo.,What is located on the terrain feature of Circ de Saboredo?,Where is Tuc de Pishader located?,Where is Tuc de Pishader located?,Mountain
0,Mount Pangulubao is located on the terrain feature of Sumatra.,What is the name of the mountain in Sumatra?,Where is Mount Pangulubao?,Mount Pangulubao is located on the terrain feature of what region?,Mountain
0,The Bluff is located on the terrain feature of Cayman Brac.,What is the name of the island located on the terrain feature of Cayman Brac?,Where is the Bluff located?,The Bluff is located on the terrain feature of what?,Mountain
0,Morne à Craie is located on Terre-de-Haut Island.,What is the name of the island on Terre-de-Haut Island?,Where is Morne à Craie?,Where is Morne à Craie located?,Mountain
0,Cime du Gélas is located on the Maritime Alps.,What is located on the Maritime Alps?,Where is Cime du Gélas?,Where is Cime du Gélas located?,Mountain
0,Tuc de Pishader is located on the terrain feature of Circ de Colomèrs.,What is located on the terrain feature of Circ de Colomèrs?,Where is Tuc de Pishader located?,Where is Tuc de Pishader located?,Mountain
0,Caraça is located on the terrain feature of Central East (Minas Gerais).,What is located on the terrain feature of Central East?,Where is Caraça located?,Caraça is located on the terrain feature of what?,Mountain
0,Schoberköpfe is located on terrain feature Hochkönig.,What is located on terrain feature Hochkönig?,Where is Schoberköpfe located?,Schoberköpfe is located on what terrain feature?,Mountain
0,Roca de Migdia is located in the protected area of serra del Verd.,What is the name of the protected area of serra del Verd?,Where is Roca de Migdia?,Where is Roca de Migdia located?,Mountain
0,Big Frog Mountain is located in the protected area of the Cherokee National Forest.,What mountain is located in the Cherokee National Forest?,Where is Big Frog Mountain?,Big Frog Mountain is located in the protected area of what?,Mountain
0,Ingleborough is located in the protected area of the Yorkshire Dales National Park.,What is the name of the Yorkshire Dales National Park?,Where is Ingleborough?,In what protected area is Ingleborough located?,Mountain
0,Bryce Point is located in the protected area of Bryce Canyon National Park.,What is the name of the protected area of Bryce Canyon National Park?,Where is Bryce Point?,What protected area is Bryce Point located in?,Mountain
0,Mount Rutori is located in the protected area of Hidaka-sanmyaku Erimo Quasi-National Park.,What is the name of the mountain in the Hidaka-sanmyaku Erimo Quasi-National Park?,Where is Mount Rutori?,Mount Rutori is located in what protected area?,Mountain
0,Ilyinsky is located in the protected area of the Southern Kamchatka Wildlife Reserve.,What is the name of the protected area of the Southern Kamchatka Wildlife Reserve?,Where is Ilyinsky located?,Where is Ilyinsky located?,Mountain
0,Matterhorn Peak is located in the Hoover Wilderness.,What is the name of the mountain in the Hoover Wilderness?,Where is Matterhorn Peak?,Where is Matterhorn Peak located?,Mountain
0,Tanád is located in the protected area Štiavnické vrchy Protected Landscape Area.,What is the name of the protected area?,Where is Tanád located?,Where is Tanád located?,Mountain
0,Yberg is located in the protected area of Baden-Baden.,What is the name of the protected area of Baden-Baden?,Where is Yberg located?,Where is Yberg located?,Mountain
0,Pic Dubuc is located in the protected area of Monts-Valin National Park.,What is the name of the mountain range in Monts-Valin National Park?,Where is Pic Dubuc?,Where is Pic Dubuc located?,Mountain
0,Mount Idonmappu is located in the protected area of Hidaka-sanmyaku Erimo Quasi-National Park.,What is the name of the mountain in the Hidaka-sanmyaku Erimo Quasi-National Park?,Where is Mount Idonmappu?,Where is Mount Idonmappu located?,Mountain
0,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,What is the name of the dome located in the protected area of the Westland Tai Poutini National Park?,Where is Chancellor Dome?,Where is Chancellor Dome located?,Mountain
0,Poľská Tomanová is located in the protected area of Tatra National Park.,What is located in the protected area of Tatra National Park?,,,Mountain
0,Mount O'Neal is located in the protected area of Colonel Bob Wilderness.,What is the name of the mountain in Colonel Bob Wilderness?,Where is Mount O'Neal?,Mount O'Neal is located in the protected area of what?,Mountain
0,Roter Kogel is located in the protected area of Hohe Tauern National Park.,What is the name of the protected area of Hohe Tauern National Park?,Where is Roter Kogel located?,Roter Kogel is located in the protected area of what park?,Mountain
0,The Brothers Wilderness is a protected area.,What is the name of the Wilderness?,What is The Brothers Wilderness?,What is the name of the protected area?,Mountain
0,Snæfellsjökull is located in the protected area of Snæfellsjökull National Park.,What is located in the protected area of Sn<unk>fellsjökull National Park?,,,Mountain
0,Stoppelsberg is part of Fulda-Haune-Tafelland.,What is part of Fulda-Haune-Tafelland?,What part of Fulda-Haune-Tafelland is Stoppelsberg?,What is Stoppelsberg part of?,Mountain
0,Mount Hiuchigatake is part of 100 Famous Japanese Mountains.,What is a part of the 100 Famous Japanese Mountains?,What is the name of the 100 Famous Japanese Mountains?,What is the name of the mountain range?,Mountain
